,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
2391,0.6062717209205261,0.6964448885105444,0.07776418603374076,0.5903391980317673,0.7154468619735918,0.23783208507634926,0.2278149468222986,0.9972420165837885,0.4084285445360523,0.0033627642973949544,0.0394072273189091,0.9325645486007337,0.15112522603592674,0.018973242668263272,0.4427886772774096,0.050153745577750194
1672,0.05300900225524508,0.6305894428798815,0.01305400321762326,0.6895019556784893,0.008455543493829345,0.11817828254537158,0.6976042417267914,0.7066377907225342,0.6489000649174745,0.9755176595073591,0.18811585749872753,0.11306064919893577,0.47394010028400385,0.09939652088603289,0.24857181369390483,0.9068155398664887
2917,0.045782047756326646,0.46021474590154887,0.317649666897781,0.9948885161909953,0.44561310705573637,0.5793055368866854,0.5424486048017514,0.5760991889780029,0.7308183679030884,0.16735935912463118,0.7355805026714133,0.8995018793011226,0.6728357847888566,0.030435728925569436,0.47508177485229597,0.8515105451670177
3637,0.019958679986141495,0.12324141993812367,0.014428635011282666,0.5333944403127239,0.28197383330387227,0.8173016466925589,0.6307813177414079,0.6816193824373429,0.7957219837341284,0.7410396238330341,0.06560763842639727,0.7528650733291252,0.3699871171578775,0.16103075508904455,0.8188803290590826,0.015982075578973784
334,0.4361606399513124,0.5972469766060621,0.07155706342414045,0.4585297868129835,0.17504476561515003,0.5903018412972999,0.3395407120667527,0.9608110819470774,0.1795584464896788,0.4089619159065179,0.27252181560251215,0.6217048638763852,0.15295885054264788,0.7613939482630365,0.7282301953699631,0.010640608389562475
803,0.3344556306624499,0.9453618024516752,0.26004022218743533,0.02202858993097092,0.18254707084531413,0.4006803375954692,0.4814826611955692,0.6884701386665627,0.11923745412599714,0.08644494651679038,0.22324389676776493,0.9241766186134336,0.654839059820582,0.6453142275241848,0.9835254028735754,0.42138004594482814
186,0.22772154463462796,0.5898306951829554,0.43112731536951676,0.8265110554621055,0.40202937021353424,0.11891808574406912,0.24135622233976162,0.9928292562288015,0.07020052783798933,0.7990818858062981,0.28740328359546197,0.9799224066016577,0.04248000777328797,0.32020500745734887,0.6701010312445401,0.12056336913482307
2309,0.4177604991726447,0.5916762976582441,0.666094829735287,0.8088619385845841,0.4188008659335644,0.3016919946468047,0.4478935785965222,0.5949871192757341,0.6946904390413337,0.8575585045984697,0.09002970234127365,0.5366998658794804,0.29393196514965264,0.3904963733257291,0.22055670249008993,0.8213224128639104
2905,0.31268069715375874,0.9624886711329221,0.49825158960664123,0.07339781136989379,0.08820834417822451,0.001977550203433262,0.45640027642640385,0.8282861325874076,0.06716500812536452,0.5085428933247479,0.1982855036257466,0.9061677801748236,0.2914765432480654,0.16250766072481546,0.37850670544948606,0.7704114246106134
2312,0.2290300143742687,0.7055686900974907,0.19952555031637959,0.9195619703711501,0.5401697420265802,0.7498720694844906,0.4803964212273197,0.8042620507338423,0.84306733394137,0.5509804992091741,0.3823769807030048,0.6347318750738739,0.1387434825457984,0.2947614788610323,0.020649679454399123,0.9984800754471059
2486,0.8101374193075097,0.44180462836624834,0.20089571834863473,0.08059047782617676,0.02662229705518779,0.1254123494975765,0.5671359698888985,0.7142548840351775,0.767862235528733,0.254194944307971,0.7490908072993971,0.5450249613350002,0.602941257288276,0.0820306186489038,0.19292617084377964,0.9414625929621433
545,0.4292596405776016,0.34088130280825396,0.17094018533636804,0.0027392298580940885,0.8410458642183224,0.6741747352158072,0.383389980302184,0.9409912619525241,0.7681415554506033,0.6588767718821928,0.2653026618748164,0.24030447290687876,0.3212527150076798,0.33762832269559734,0.6954172017509438,0.3738355515057256
3099,0.13657145294705406,0.5376635898581733,0.03301643459460531,0.004573351996573813,0.1980892300554713,0.18673108108625008,0.44332082228736036,0.9767841924278698,0.7596775832605523,0.7392380711013511,0.981100998091167,0.9809045487571602,0.4612812110389111,0.8199079551832154,0.326707314060958,0.12195185576010455
3088,0.6202491827548973,0.5462071666082065,0.6346175794341641,0.1603648984135665,0.1558115739383053,0.10760142178145475,0.3463497003760354,0.8270569308853171,0.5925377447424853,0.061150141075770235,0.0913760891805156,0.1299488767740951,0.021748067763066613,0.34464250930634627,0.5360664552973478,0.09742530170020956
2091,0.41659514766936284,0.13593690514299453,0.04717905620571187,0.8917566931660618,0.6728170387726602,0.5033282409830491,0.5079553181215978,0.7875153206975164,0.9960771047146683,0.3143432557229526,0.4328855857488691,0.425290862508685,0.04965312109896864,0.6593727202050029,0.4216244142462441,0.4220514106422976
255,0.01730873010610559,0.2629235589757503,0.5896022385723786,0.33688380289823794,0.7302822112580202,0.18569474831327745,0.35389833218125444,0.7524426604659985,0.016532008805692878,0.9909230442787674,0.0022948332332071173,0.5543131971368455,0.28290889237933625,0.07006529650848249,0.6271307129618036,0.9342459435010211
1951,0.1757423342251113,0.08418291190230066,0.21387612382080118,0.5004159876136972,0.6676745117217772,0.5982791328742715,0.5711420338679404,0.7270905518336003,0.04638682878440591,0.8715093054612972,0.018808709224911152,0.05744387168162558,0.064950375631609,0.36604422084220894,0.851804091237287,0.316588534252386
1173,0.03308480132110619,0.18348507322181581,0.00972876415089423,0.031082251422187415,0.8869152041562539,0.7470091351405893,0.4808117738709148,0.9500907901387906,0.9782722619221906,0.27207019397350213,0.8756510746615322,0.6271597342292636,0.588862427862813,0.43826228574081477,0.5781415766016783,0.8475147276012645
1722,0.7332925464725688,0.4579043891450975,0.06645384257225757,0.3455710166700443,0.029944956549038716,0.3510040497595186,0.36367948619227514,0.7731461439917083,0.06305435475307539,0.9969734136577781,0.3978106963294809,0.9349395871329335,0.956696838401867,0.1964203842737111,0.36589824365694607,0.7097306798794125
330,0.06873794954566091,0.35440830646663957,0.28864379360305925,0.23208723669786802,0.9742509871570401,0.1351889002775034,0.6515230020168769,0.4940119459366877,0.8731403042480581,0.28725609613233705,0.8700070291564571,0.4991932981486228,0.18569705871966224,0.19732084548719164,0.9315634605547095,0.1235069905683124
1498,0.5005523730992313,0.7878925604142001,0.5405730329622573,0.5877348961013737,0.0023798618077257193,0.20112599733206893,0.24666781049127112,0.9415488480591715,0.7663834331092485,0.7058455936761378,0.06709571366734308,0.19394139430729573,0.37841426741833617,0.03665025714294573,0.6775017478552829,0.2535778314328898
3584,0.4065158613882589,0.5131263006093577,0.012486375710139518,0.06969496156890678,0.9521220996880668,0.43306347711065063,0.3641954980105908,0.9539097564228496,0.49651862274761815,0.9790377842925827,0.855269101253323,0.7135322323791286,0.05733583374791264,0.6571341953589805,0.987854148185908,0.3315405741402159
271,0.4679776873814324,0.5437918784469192,0.3482985762312865,0.008890107797435143,0.7354398616900786,0.13102172065699072,0.2931481117341399,0.9898361805955899,0.1030637504651005,0.7668111801384566,0.03629224156332734,0.20727056814770156,0.0724105648220476,0.1330055270411644,0.5073881183881198,0.17055829396984304
3612,0.33421397115381574,0.7714336746008035,0.8116457778652606,0.3299668536250851,0.2911013072054768,0.03007792841941772,0.43602978053206753,0.6661149092494683,0.9305989027801933,0.7225463992460738,0.36538860301481024,0.8630396350451808,0.15587401206876894,0.22010419105299836,0.5290839116420555,0.2923873613591275
2269,0.2289583711322563,0.38640439784245223,0.03250279554272119,0.38346645298799775,0.5273416216431186,0.2594571113860507,0.43978689365093804,0.9275487106929893,0.603151514427685,0.7784000700556292,0.2731257724675869,0.6429532464291674,0.5237527083432494,0.8058501287708537,0.8400503718666176,0.50041670716184
815,0.5523513305140691,0.41004005704098795,0.18567579764801065,0.593677996375089,0.22644678599114829,0.6172548210877392,0.5585315238694246,0.502316345746799,0.2607507922241668,0.061487647288750384,0.5260239877110113,0.6564683444134422,0.2529057230922997,0.7001427826973387,0.17732526835116,0.7273585072257908
