,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
97,0.8381469852441764,0.6437162389800665,0.09370041170911335,0.5042756202823315,0.87059276109616,0.341935892972779,0.10120953735042716,0.7263076016071288
232,0.9578611374225202,0.5106245771110658,0.03271642734172578,0.4443995844148118,0.9206634328977823,0.5643111754202749,0.060782813960084,0.5333166959275611
275,0.9740618919091395,0.6258894594373315,0.02820226653603932,0.27255327454282763,0.42863521740337795,0.39234102664475756,0.07666778113016265,0.9707847606418324
90,0.7401187168449118,0.34754604662297833,0.0533179306816669,0.7309840366382977,0.941325729094869,0.7413449854548307,0.20003041943967875,0.801156324191372
17,0.9487641873369055,0.43214125927812447,0.030190361790033284,0.4529501329034142,0.775891538676234,0.8236429792726161,0.24645502189760762,0.49336866174826577
317,0.9737026596714794,0.6154579574866607,0.2702929386050634,0.2953436684494237,0.7921992433162688,0.7247561216316847,0.1746503166496174,0.48974709533434296
80,0.8036144638767595,0.45840579874419357,0.07396607959019962,0.6012549947188885,0.7294945096828496,0.5154371939052999,0.10332065773492552,0.5591074266460616
268,0.6825655402148603,0.665320622810451,0.10161117184830966,0.5282360082650159,0.9899054221301636,0.8010470768020752,0.2359177031803047,0.2686166690021044
309,0.8667513916642333,0.13653847870803837,0.08502818278697712,0.5470867146957078,0.6635130562228165,0.09582557128184009,0.14070507504981006,0.9951592906786034
154,0.949151159095308,0.17557609403537822,0.17448276806909005,0.49359225104933646,0.8362032430202592,0.939680726684602,0.06005766200217925,0.3475543914647762
283,0.7894698344983807,0.08506856502048485,0.05284021285512222,0.7128357220059414,0.6914799092448538,0.5378448955658066,0.1149761896937931,0.7670649720650218
327,0.7474163806702775,0.3248477590540261,0.048406648884512245,0.6418693891607555,0.8314034294850956,0.04414214989593171,0.1300156318890768,0.6083934374709001
177,0.9119238583418875,0.8111336030549197,0.018850242341614008,0.4268931911209887,0.9104702865830824,0.9934343383938765,0.02281088765143667,0.3466974461445503
35,0.9411716154403776,0.42564928253795814,0.06209023015371118,0.4516407919789459,0.7846354126205616,0.4619819354727218,0.1008585884279915,0.2725918727655714
149,0.9885382097951004,0.1792769040325617,0.2619062890840417,0.3652806486461825,0.6938436834385695,0.6503476914698145,0.05088618436059816,0.3246147304117304
45,0.9729632028912024,0.6031981362964396,0.1286299131292791,0.3520427116834961,0.9163609280619002,0.8856768300176192,0.34166335552408017,0.9349891473969575
285,0.6840537130576068,0.009167259968863577,0.22822029475163355,0.7756115662245389,0.9490738682726999,0.9365981058580239,0.014341912995361495,0.7163665226716074
229,0.9748378477330217,0.8404601779472043,0.02612763617233713,0.3243816721632921,0.8913431805979377,0.7285894381621255,0.056353604386381415,0.9194279368095002
233,0.9158392247332371,0.5877043103286191,0.3718175493241664,0.3683257504691782,0.9149919860469805,0.5891062114387734,0.1559369561385511,0.9895212123006201
102,0.7914961702839289,0.8464681728675368,0.1253800860833087,0.40536013363572043,0.9819789388090473,0.44611054332693106,0.1543162654426158,0.4518919252290154
104,0.8492004544525669,0.7652781011222966,0.041835107947191814,0.35299927876852016,0.752397119251403,0.8657455510960312,0.21973450990859206,0.16362653804067043
288,0.5599480316144051,0.712243439418674,0.03383290564546476,0.5856739072455831,0.9952775316541853,0.30591033891891833,0.14917976597377863,0.868337687321663
