,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
17,0.9420246242476903,0.13682087794589579,0.17543465729092828,0.5558195745434009,0.836266293105924,0.9506453456007496,0.14413701508549034,0.8076222514636241
427,0.9739620001924464,0.4709078972017463,0.4688742643159194,0.36486785813321504,0.933845561973635,0.45863959194190895,0.08050202783286618,0.39800822624792925
416,0.8934219654212208,0.5129807561013641,0.34981986497701484,0.5274105982712858,0.9058336251513384,0.8728745809961129,0.27579896614160554,0.7650166239439954
535,0.961975919668107,0.16503447461978116,0.06461600240525238,0.519698076956174,0.8401938765979403,0.36452661409210735,0.1392334401272625,0.8608542231174332
3,0.9724812948851358,0.4299954292019227,0.06647654082576934,0.4450372690018857,0.543004052754645,0.8773255359048978,0.17856522264573507,0.7197984351454364
273,0.8368851648779427,0.020271958068938705,0.18170149262872212,0.6076606717342987,0.9032969601804071,0.3724198258841539,0.17326766865822046,0.7651590078964141
128,0.7688542582956522,0.6271443990322549,0.05981142718084004,0.5356304804172752,0.6773597799808697,0.6023149882690918,0.06150864651888854,0.23739746375953893
160,0.9000247381010067,0.7686072411326339,0.2680814757550947,0.31148109328820855,0.8875091078083407,0.3521950718138694,0.1886083511248225,0.6889103237370406
337,0.9504711028320407,0.5940637062170901,0.36819207528583653,0.32032154540368063,0.9477498468509146,0.9924463410262192,0.2714332018835276,0.18963444343496266
315,0.927050317300328,0.2090380554877744,0.015221642782530551,0.47541658250230523,0.7639049507968173,0.1537378301256362,0.3805245859921688,0.7979709059898841
356,0.9476343299499354,0.2082630397417377,0.2836501853519883,0.5734363972514452,0.95124812586594,0.9935082843745654,0.04098737276851129,0.5616785358766534
245,0.9322802152507028,0.0743874922755445,0.17835462547386652,0.4662115456220611,0.5561826879981852,0.5816868912590447,0.02565654391121038,0.7133720029473687
372,0.974776363981396,0.2898213924779471,0.2087476616071781,0.42910912486106617,0.29756395853320045,0.9408900857675966,0.27467735268026905,0.9838000369200396
176,0.9138721670167566,0.5375685781324416,0.12179266582802145,0.4108694989704689,0.8073150250347724,0.8609292473554477,0.47327264981457523,0.7207447766663706
447,0.509674298368409,0.8174617626739874,0.02473832591336676,0.45365823265723865,0.9729854095921758,0.7694119211802053,0.34926056508844355,0.8613946656136913
588,0.949839809314048,0.45994194225126445,0.6005789771977912,0.3695730222686147,0.8497127206923507,0.9297968530582734,0.0377265097433162,0.45007357149962157
24,0.8186081248941928,0.8377369756522749,0.14958405264309363,0.41542294848558253,0.8771448777496451,0.8943555945132619,0.12832037278436123,0.7635193021509618
223,0.6382782970553056,0.7057686772800915,0.12096467084897175,0.5250723203809715,0.7784285654064411,0.8283562523817198,0.01633939674383818,0.1750938927027566
115,0.7501566752622923,0.48057682995746537,0.318803159848347,0.6628479268817087,0.9636655940339395,0.9448923611441132,0.16976933879756798,0.9101566246934767
286,0.562395591389023,0.7268015475538095,0.15158185463702534,0.5396583447248228,0.9283799145100812,0.6241176749904598,0.08544129515068594,0.794745602056156
551,0.7159333920892863,0.7987377116842335,0.21315610564302487,0.39032875590741095,0.8899980906453626,0.9465557220225268,0.40270874677150376,0.4157051065247079
478,0.9083685192141783,0.38019847618596897,0.3229997978248226,0.4326804363955103,0.9085998034218606,0.14364135539748235,0.42457557711111604,0.8321108001031691
190,0.854682265271599,0.4810608760944167,0.10918957445591189,0.5090863051211421,0.9171518933124304,0.8632943265604516,0.3845577392771779,0.13995504034524447
619,0.947467540104791,0.4307691900201604,0.04529702248933889,0.329059020137137,0.8619466874047588,0.38688439776793737,0.47283371130528334,0.29496067619393945
